,titulo,empresa,presencialidad,jornada,experiencia,tipo_contrato,beneficios,salario_min,salario_max,localidad,provincia,comunidad,pais,categoria_empleo
3454,cloud architect,Page Personnel,hibrido,jornada completa,3.0,indefinido,False,39000.0,48000.0,,,,España,sistemas
3455,developer,Hays,hibrido,jornada completa,3.0,indefinido,False,,,Barcelona,Barcelona,Cataluña,España,programador
3456,programmer,Michael Page,hibrido,jornada completa,2.0,indefinido,False,24000.0,30000.0,Valencia,Valencia,Comunidad Valenciana,España,programador
3457,lead tech,Michael Page,hibrido,jornada completa,5.0,indefinido,False,60000.0,72000.0,,,,España,administracion
3458,project manager,Michael Page,hibrido,jornada completa,3.0,indefinido,False,39000.0,60000.0,,,Galicia,España,administracion
3459,project manager,Michael Page,hibrido,jornada completa,3.0,indefinido,False,39000.0,60000.0,,,,España,administracion
3460,director producto cargadores patinete,Michael Page,no especificado,jornada completa,5.0,indefinido,False,48000.0,60000.0,,,,España,otros
3461,project manager,Michael Page,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,administracion
3462,tecnico especialista virtualizacion,Michael Page,no especificado,jornada completa,3.0,indefinido,False,36000.0,42000.0,,,,España,otros
3463,consultant,Hays,hibrido,jornada completa,3.0,indefinido,False,30000.0,35000.0,Sevilla,Sevilla,Andalucía,España,otros
3464,consultant,Page Personnel,no especificado,jornada completa,5.0,indefinido,False,42000.0,45000.0,,,,España,otros
3465,tecnico/a sat,Hays,no especificado,jornada completa,2.0,indefinido,False,,,Valencia,Valencia,Comunidad Valenciana,España,otros
3466,developer,Alten ,hibrido,jornada completa,2.0,indefinido,False,,,Madrid,Madrid,Comunidad de Madrid,España,programador
3467,analyst,Page Personnel,hibrido,jornada completa,3.0,indefinido,False,30000.0,42000.0,Marbella,Málaga,Andalucía,España,data driven
3468,coordinador/a cau,laberit,presencial,jornada completa,2.0,indefinido,False,30000.0,42000.0,Valencia,Valencia,Comunidad Valenciana,España,otros
3469,developer,Page Personnel,hibrido,jornada completa,2.0,indefinido,False,33000.0,42000.0,Madrid,Madrid,Comunidad de Madrid,España,programador
3470,project manager,Page Personnel,remoto,jornada completa,3.0,indefinido,False,39000.0,60000.0,,,,España,administracion
3471,modelador/a bim,rdt,hibrido,jornada completa,1.0,indefinido,False,,,Derio,Vizcaya,País Vasco,España,otros
3472,disenor mecanico senior,Michael Page,no especificado,jornada completa,5.0,indefinido,False,45000.0,54000.0,,Gipuzkoa,País Vasco,España,otros
3473,programmer,alcorce telecomunicaciones,remoto,jornada completa,3.0,indefinido,False,,,,,,España,programador
3474,it engineer,novanotio,presencial,jornada completa,3.0,indefinido,True,33000.0,39000.0,,,,España,sistemas
3475,fullstack,torrecid sa,presencial,jornada completa,1.0,indefinido,False,,,,,,España,programador
3476,systems administrator,the whiteam,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,sistemas
3477,computer technician,grupo sermicro,presencial,no especificado,2.0,temporal,False,,,Madrid,Madrid,Comunidad de Madrid,España,sistemas
3478,development engineer,grupo sermicro,presencial,jornada completa,1.0,indefinido,False,,,Valencia,Valencia,Comunidad Valenciana,España,otros
3479,software engineer,visium,no especificado,jornada completa,3.0,indefinido,False,30000.0,45000.0,,,,España,programador
3480,analyst,panel sistemas informaticos,remoto,jornada completa,3.0,indefinido,False,,,,,,España,data driven
3481,analyst,panel sistemas informaticos,hibrido,jornada completa,3.0,indefinido,False,,,Madrid,Madrid,Comunidad de Madrid,España,data driven
3482,developer,Page Personnel,hibrido,jornada completa,3.0,indefinido,False,33000.0,48000.0,Barcelona,Barcelona,Cataluña,España,programador
3483,developer,Michael Page,hibrido,jornada completa,3.0,indefinido,False,33000.0,39000.0,Zaragoza,Zaragoza,Aragón,España,programador
3484,sre/cloud administrator,Michael Page,hibrido,jornada completa,3.0,indefinido,False,45000.0,54000.0,Barcelona,Barcelona,Cataluña,España,otros
3485,fullstack,Michael Page,no especificado,jornada completa,3.0,indefinido,False,54000.0,72000.0,,,,España,programador
3486,developer,Page Personnel,hibrido,jornada completa,2.0,indefinido,False,30000.0,42000.0,,,,España,programador
3487,developer,Page Personnel,remoto,jornada completa,2.0,indefinido,False,30000.0,36000.0,,,,España,programador
3488,consultant,Hays,hibrido,jornada completa,3.0,indefinido,False,,,,,,España,otros
3489,analyst,Michael Page,hibrido,jornada completa,3.0,indefinido,False,,,,,,España,data driven
3490,process improvement specialist it,Michael Page,no especificado,jornada completa,3.0,indefinido,False,39000.0,45000.0,Barcelona,Barcelona,Cataluña,España,otros
3491,developer,Page Personnel,hibrido,jornada completa,3.0,indefinido,False,30000.0,39000.0,,,,España,programador
3492,tecnico/a de diseno,Hays,no especificado,jornada completa,3.0,indefinido,False,,,,,,España,otros
3493,consultant,Page Personnel,no especificado,jornada completa,3.0,indefinido,False,,,Barcelona,Barcelona,Cataluña,España,otros
3494,programmer,Page Personnel,hibrido,jornada completa,1.0,indefinido,False,24000.0,27000.0,,,,España,programador
